trajectory_id,site_id,site_label,mode,count,direction,lane,timestamp,longitude,latitude,hour,weekday,date,mode_clean,arrondissement,arrondissement_full
10029_3 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),2 roues motorisées,4,E-O,Piste cyclable,2021-02-23 16:00:00+00:00,2.341831,48.8714843,16,Tuesday,2021-02-23,Motorcycles,2,75002
10029_1 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),Autobus et autocars,5,E-O,Voie de circulation générale,2021-02-23 19:00:00+00:00,2.341831,48.8714843,19,Tuesday,2021-02-23,Buses,2,75002
10029_2 -> 1,10029,CF0004_2 boulevard Montmartre (sens E-O),Autobus et autocars,9,E-O,Voie de circulation générale,2021-02-23 22:00:00+00:00,2.341831,48.8714843,22,Tuesday,2021-02-23,Buses,2,75002
10004_5 -> 3,10004,CF0256_88 rue de Rivoli,Vélos,1,E-O,Voie de circulation générale,2021-02-24 02:00:00+00:00,2.349109,48.858273,2,Wednesday,2021-02-24,Bikes,1,75001
10004_5 -> 3,10004,CF0256_88 rue de Rivoli,"Véhicules lourds > 3,5t",2,E-O,Voie de circulation générale,2021-02-24 02:00:00+00:00,2.349109,48.858273,2,Wednesday,2021-02-24,Heavy Vehicles,1,75001
10004_2 -> 1,10004,CF0256_88 rue de Rivoli,Vélos,77,E-O,Piste cyclable,2021-02-24 06:00:00+00:00,2.349109,48.858273,6,Wednesday,2021-02-24,Bikes,1,75001
10004_5 -> 3,10004,CF0256_88 rue de Rivoli,"Véhicules lourds > 3,5t",27,E-O,Voie de circulation générale,2021-02-24 07:00:00+00:00,2.349109,48.858273,7,Wednesday,2021-02-24,Heavy Vehicles,1,75001
10004_5 -> 2,10004,CF0256_88 rue de Rivoli,Vélos,1,E-O,Coronapiste,2021-02-24 08:00:00+00:00,2.349109,48.858273,8,Wednesday,2021-02-24,Bikes,1,75001
10004_4 -> 2,10004,CF0256_88 rue de Rivoli,2 roues motorisées,1,E-O,Coronapiste,2021-02-24 11:00:00+00:00,2.349109,48.858273,11,Wednesday,2021-02-24,Motorcycles,1,75001
10004_5 -> 3,10004,CF0256_88 rue de Rivoli,"Véhicules lourds > 3,5t",10,E-O,Voie de circulation générale,2021-02-24 12:00:00+00:00,2.349109,48.858273,12,Wednesday,2021-02-24,Heavy Vehicles,1,75001
10004_4 -> 2,10004,CF0256_88 rue de Rivoli,2 roues motorisées,6,E-O,Coronapiste,2021-02-24 15:00:00+00:00,2.349109,48.858273,15,Wednesday,2021-02-24,Motorcycles,1,75001
10004_4 -> 2,10004,CF0256_88 rue de Rivoli,Trottinettes,52,E-O,Coronapiste,2021-02-24 15:00:00+00:00,2.349109,48.858273,15,Wednesday,2021-02-24,Scooters,1,75001
10004_5 -> 3,10004,CF0256_88 rue de Rivoli,Vélos,6,E-O,Voie de circulation générale,2021-02-24 22:00:00+00:00,2.349109,48.858273,22,Wednesday,2021-02-24,Bikes,1,75001
10015_1 -> 1,10015,CF0181_101 rue d'Amsterdam,"Véhicules légers < 3,5t",20,N-S,Voie de circulation générale,2021-02-23 23:00:00+00:00,2.327263,48.883513,23,Tuesday,2021-02-23,"Véhicules légers < 3,5t",8,75008
10015_1 -> 1,10015,CF0181_101 rue d'Amsterdam,2 roues motorisées,2,N-S,Voie de circulation générale,2021-02-24 01:00:00+00:00,2.327263,48.883513,1,Wednesday,2021-02-24,Motorcycles,8,75008
10015_2 -> 2,10015,CF0181_101 rue d'Amsterdam,Trottinettes + vélos,8,S-N,Coronapiste,2021-02-24 05:00:00+00:00,2.327263,48.883513,5,Wednesday,2021-02-24,Mixed,8,75008
10015_1 -> 1,10015,CF0181_101 rue d'Amsterdam,2 roues motorisées,60,N-S,Voie de circulation générale,2021-02-24 07:00:00+00:00,2.327263,48.883513,7,Wednesday,2021-02-24,Motorcycles,8,75008
10015_1 -> 1,10015,CF0181_101 rue d'Amsterdam,"Véhicules lourds > 3,5t",5,N-S,Voie de circulation générale,2021-02-24 10:00:00+00:00,2.327263,48.883513,10,Wednesday,2021-02-24,Heavy Vehicles,8,75008
