latitude,longitude,location_type,arrondissement,commercial_score,format_1m2,format_2m2,traffic_count,zone_name,data_source
48.885108,2.37628,Civic Panel,75019.0,9.379903128503239,0.0,1.0,0,"12-16, rue de la Moselle",panels
48.852692,2.339941,Civic Panel,75006.0,3.0091989242548376,1.0,0.0,0,"7, rue du Jardinet",panels
48.870885,2.377182,Civic Panel,75011.0,5.5,0.0,1.0,0,"4bis, rue de la Présentation",panels
48.873093,2.389293,Civic Panel,75020.0,8.75,0.0,1.0,0,84 Rue de la Mare,panels
48.833497,2.361549,Civic Panel,75013.0,6.5,1.0,0.0,0,Place Pinel,panels
48.855128,2.333105,Civic Panel,75006.0,3.0091989242548376,1.0,0.0,0,"12, rue Saint-Benoît",panels
48.848922,2.339836,Civic Panel,75006.0,3.0091989242548376,1.0,0.0,0,"9, rue de Vaugirard",panels
48.844704,2.380336,Civic Panel,75012.0,5.0,0.0,1.0,0,"70, avenue Daumesnil",panels
48.866162,2.392419,Civic Panel,75020.0,8.75,0.0,1.0,0,"17, rue Sorbier",panels
48.86769,2.4031700000000003,Civic Panel,75020.0,8.75,0.0,1.0,0,"7, rue Bretonneau",panels
48.853745,2.393242,Civic Panel,75011.0,5.5,0.0,1.0,0,"39, rue Alexandre Dumas",panels
48.838886,2.332875,Civic Panel,75014.0,7.863044227314029,0.0,1.0,0,"19, rue Boissonnade",panels
48.855874,2.38245,Civic Panel,75011.0,5.5,0.0,1.0,0,"2, rue Japy",panels
48.821395,2.375173,Civic Panel,75013.0,6.5,0.0,1.0,0,"9, rue Franc Nohain",panels
48.889046,2.325925,Civic Panel,75017.0,4.5,0.0,1.0,0,"21/23, avenue de Saint Ouen",panels
48.856603,2.401315,Civic Panel,75020.0,8.75,0.0,1.0,0,"38, rue des Orteaux",panels
48.875864,2.307069,Civic Panel,75008.0,1.5,0.0,1.0,0,"15, rue de Monceau",panels
48.85859,2.379116,Civic Panel,75011.0,5.5,0.0,1.0,0,"107, boulevard Voltaire",panels
48.828093,2.366809,Civic Panel,75013.0,6.5,0.0,1.0,0,"6, rue Baptiste Renard",panels
48.855128,2.333105,Civic Panel,75006.0,3.0091989242548376,0.0,1.0,0,"12, rue Saint Benoit",panels
